date,market_cap,metcalfe_market_cap
3/18/14,7856357025.0,1530261395.0
3/19/14,7625780520.0,1321584513.0
3/20/14,7397493750.0,1541345782.0
3/21/14,7274611574.0,1868790920.0
3/22/14,6988706850.0,1462848347.0
3/23/14,7118715008.0,1345617451.0
3/24/14,7182689800.0,1876115111.0
3/25/14,7285587719.0,1639161163.0
3/26/14,7359247288.0,1662507005.0
3/27/14,6538419810.0,1959252855.0
3/28/14,6324533375.0,2069849123.0
3/29/14,6288195326.0,1248836355.0
3/30/14,5649401258.0,1747355612.0
3/31/14,5751722025.0,1461868935.0
4/1/14,6037174753.0,1910784231.0
4/2/14,5604741625.0,1807516033.0
4/3/14,5623561789.0,1459358029.0
4/4/14,5622022952.0,1617502734.0
4/5/14,5697532960.0,1422856368.0
4/6/14,5797898152.0,2082000394.0
4/7/14,5649057226.0,1399077244.0
4/8/14,5730692601.0,1715315869.0
4/9/14,5593849485.0,1626629336.0
4/10/14,5064118725.0,2130318607.0
4/11/14,5406562276.0,1670166354.0
4/12/14,5370238521.0,1202099311.0
4/13/14,5119777125.0,1743959256.0
4/14/14,5730397112.0,1666368572.0
4/15/14,6197777924.0,2145920192.0
4/16/14,6472815113.0,1581917360.0
4/17/14,6266167875.0,1541039771.0
4/18/14,6077902744.0,1187242684.0
4/19/14,6332183310.0,1258575140.0
4/20/14,6337982519.0,1726587439.0
4/21/14,6293422988.0,1195968423.0
4/22/14,6255140735.0,1763708787.0
4/23/14,6180815740.0,1394208250.0
4/24/14,6237162710.0,1305924298.0
4/25/14,5827336661.0,1931111645.0
4/26/14,5889432077.0,1349439457.0
4/27/14,5589358020.0,1697261793.0
4/28/14,5678844450.0,1373826393.0
4/29/14,5689505910.0,1649456412.0
4/30/14,5707665550.0,1471976864.0
5/1/14,5849556162.0,1401973528.0
5/2/14,5692506204.0,1272876790.0
5/3/14,5528578000.0,822644580.8
5/4/14,5551993638.0,1480576703.0
5/5/14,5446671643.0,1002107468.0
5/6/14,5480499990.0,1628021883.0
5/7/14,5690164673.0,1467067823.0
5/8/14,5626277325.0,1536889766.0
5/9/14,5762215354.0,1539138811.0
5/10/14,5769316393.0,1100042852.0
5/11/14,5548979625.0,1596455486.0
5/12/14,5633628300.0,1329733851.0
5/13/14,5602955328.0,1211635100.0
5/14/14,5713641818.0,1332333923.0
5/15/14,5734657427.0,1786062867.0
5/16/14,5743344319.0,1264765242.0
5/17/14,5739904793.0,1031775843.0
5/18/14,5716830221.0,1787145429.0
5/19/14,5709600195.0,1268470727.0
5/20/14,6205327067.0,1814363509.0
5/21/14,6333680297.0,1642476506.0
5/22/14,6706644944.0,1296043747.0
5/23/14,6755202796.0,1865038015.0
5/24/14,6681192720.0,995948085.9
5/25/14,7368495625.0,1981595129.0
5/26/14,7486296000.0,1438757082.0
5/27/14,7460868061.0,1646811794.0
5/28/14,7366729895.0,2019822658.0
5/29/14,7287397400.0,1593209167.0
5/30/14,7816291020.0,1460081289.0
5/31/14,7965213010.0,1176619156.0
6/1/14,8668278780.0,2096455506.0
6/2/14,8112594158.0,1525038590.0
6/3/14,8660592155.0,2043110642.0
6/4/14,8287765077.0,1840186696.0
6/5/14,8470908648.0,1718061066.0
6/6/14,8435141763.0,1754881208.0
6/7/14,8418992603.0,1254844700.0
6/8/14,8391843100.0,1816190107.0
6/9/14,8380284372.0,1275460464.0
6/10/14,8369770838.0,1762306105.0
6/11/14,8244607176.0,1556904761.0
6/12/14,7950831675.0,1536955248.0
6/13/14,7502256450.0,1768294770.0
6/14/14,7194308660.0,1442328416.0
6/15/14,7230054767.0,1907159575.0
6/16/14,7678237000.0,1625506748.0
6/17/14,7715093733.0,1914753400.0
6/18/14,7807381180.0,1819038585.0
6/19/14,7806046764.0,1253188504.0
6/20/14,7666832261.0,1568856823.0
6/21/14,7639387911.0,1344045260.0
6/22/14,7708059500.0,2147932452.0
6/23/14,7651170800.0,1228593896.0
6/24/14,7576975431.0,1741263137.0
6/25/14,7339701600.0,1748612635.0
6/26/14,7368023675.0,1562115786.0
6/27/14,7629370138.0,1594320548.0
6/28/14,7737216399.0,1188854729.0
6/29/14,7725813900.0,1978374393.0
6/30/14,8038858000.0,1436645951.0
7/1/14,8487791108.0,2075577860.0
7/2/14,8484227550.0,1797871048.0
7/3/14,8357159646.0,1583600816.0
7/4/14,8248755524.0,1276753283.0
7/5/14,8215983881.0,898310733.9
7/6/14,8240549911.0,2064381270.0
7/7/14,8080235477.0,1452411117.0
7/8/14,8105106240.0,2862944891.0
7/9/14,8122404507.0,2005859080.0
7/10/14,8059014835.0,1723558045.0
7/11/14,8198300350.0,1645614503.0
7/12/14,8222628582.0,1632675507.0
7/13/14,8211005775.0,2119564657.0
7/14/14,8107843950.0,1384806497.0
7/15/14,8114810685.0,1783005226.0
7/16/14,8069315506.0,1768973813.0
7/17/14,8156920850.0,1662734032.0
7/18/14,8209721212.0,1550386781.0
7/19/14,8226250420.0,1350421381.0
7/20/14,8135676168.0,2426763082.0
7/21/14,8077594532.0,1417254350.0
7/22/14,8104472552.0,1396933009.0
7/23/14,8119531937.0,1870235349.0
7/24/14,7849862762.0,1748798899.0
7/25/14,7870638897.0,1776827392.0
7/26/14,7785082818.0,1315781779.0
7/27/14,7743439126.0,2084084135.0
7/28/14,7672902534.0,1426576156.0
7/29/14,7603694000.0,1682156482.0
7/30/14,7501333455.0,1785992277.0
7/31/14,7667355850.0,1795605389.0
8/1/14,7878220817.0,1660555214.0
8/2/14,7745258967.0,1375581098.0
8/3/14,7723934074.0,1877827759.0
8/4/14,7780287333.0,1155742459.0
8/5/14,7602346578.0,2160517500.0
8/6/14,7622784020.0,2380060614.0
8/7/14,7699010020.0,1818682403.0
8/8/14,7728389583.0,1773918368.0
8/9/14,7721886299.0,1317822400.0
8/10/14,7729507192.0,2421170990.0
8/11/14,7600645789.0,2022275645.0
8/12/14,7479427096.0,2308997929.0
8/13/14,7226817836.0,2339463829.0
8/14/14,6854912355.0,2211670414.0
8/15/14,6548138844.0,1865398707.0
8/16/14,6692802825.0,2026383975.0
8/17/14,6469722234.0,2526144567.0
8/18/14,6160174811.0,1664164659.0
8/19/14,6416755313.0,2295613507.0
8/20/14,6679378133.0,2081644738.0
8/21/14,6924903791.0,2410826222.0
8/22/14,6827814188.0,1897688510.0
8/23/14,6640470759.0,1428637789.0
8/24/14,6733102331.0,2611448465.0
8/25/14,6643037914.0,1704908736.0
8/26/14,6763841117.0,2082457712.0
8/27/14,6792953412.0,2005335453.0
8/28/14,6723349467.0,2137494444.0
8/29/14,6759791170.0,1642679595.0
8/30/14,6654881727.0,1651650567.0
8/31/14,6315143457.0,2300818388.0
9/1/14,6377861181.0,2048701475.0
9/2/14,6393599084.0,1828597251.0
9/3/14,6251518222.0,1702564603.0
9/4/14,6428625750.0,1797729402.0
9/5/14,6429245279.0,1883816096.0
9/6/14,6367490750.0,1593987093.0
9/7/14,6363240583.0,3561141244.0
9/8/14,6311972620.0,1783240336.0
9/9/14,6179355602.0,2330612193.0
9/10/14,6426974895.0,2098801532.0
9/11/14,6216466025.0,1690913918.0
9/12/14,6237313763.0,1719215165.0
9/13/14,6364467156.0,1448954474.0
9/14/14,6308527913.0,3223343079.0
9/15/14,6307765713.0,2015596003.0
9/16/14,6212863800.0,2700193695.0
9/17/14,5949473600.0,2089908882.0
9/18/14,5688375693.0,2192675385.0
9/19/14,5300749488.0,1733048220.0
9/20/14,5524070247.0,1575767081.0
9/21/14,5402753935.0,2313976899.0
9/22/14,5333585348.0,2399085292.0
9/23/14,5628078450.0,2152708889.0
9/24/14,5748387370.0,2277695268.0
9/25/14,5432891464.0,2185797879.0
9/26/14,5395279766.0,1743424515.0
9/27/14,5337967004.0,1637853990.0
9/28/14,5063025000.0,3543619627.0
9/29/14,5090190768.0,1805409902.0
9/30/14,5101373770.0,2639663866.0
10/1/14,5137430974.0,2644958604.0
10/2/14,5013209451.0,2018971969.0
10/3/14,4853097938.0,1758685093.0
10/4/14,4484062800.0,1468625022.0
10/5/14,3920457791.0,3333097423.0
10/6/14,4422803400.0,1772605396.0
10/7/14,4417374855.0,2467775238.0
10/8/14,4626353891.0,2118513822.0
10/9/14,5064334157.0,1888603951.0
10/10/14,4798872497.0,2094977163.0
10/11/14,4813795280.0,1791196176.0
10/12/14,4879865752.0,3291472667.0
10/13/14,5103763143.0,2563500390.0
10/14/14,5512344465.0,2369614416.0
10/15/14,5274369650.0,2399330739.0
10/16/14,5061867360.0,2065924700.0
10/17/14,5127558025.0,1929374863.0
10/18/14,5220952124.0,1901328437.0
10/19/14,5213010586.0,3466519901.0
10/20/14,5160197008.0,1881207100.0
10/21/14,5189031450.0,2374821077.0
10/22/14,5165201888.0,2288629562.0
10/23/14,4883362638.0,2059754442.0
10/24/14,4810631777.0,2116156801.0
10/25/14,4683525527.0,2787569578.0
10/26/14,4772474125.0,2611306204.0
10/27/14,4788169325.0,2564853696.0
10/28/14,4768547912.0,2450436064.0
10/29/14,4616493552.0,2381228759.0
10/30/14,4530198325.0,2390420898.0
10/31/14,4584899554.0,2371403561.0
11/1/14,4403862031.0,1671235971.0
11/2/14,4392017915.0,4348837283.0
11/3/14,4385207114.0,1932531004.0
11/4/14,4425721720.0,2649226872.0
11/5/14,4605750325.0,2276818467.0
11/6/14,4687412655.0,2333327780.0
11/7/14,4611859379.0,2061473095.0
11/8/14,4661447670.0,1615846111.0
11/9/14,4804211514.0,3867247263.0
11/10/14,5069001614.0,2415202257.0
11/11/14,4924234458.0,2211199122.0
11/12/14,5802913007.0,2497208489.0
11/13/14,5487177696.0,3008583080.0
11/14/14,5353659140.0,3115208608.0
11/15/14,5038882560.0,1909713505.0
11/16/14,5182200331.0,3758437483.0
11/17/14,5113804134.0,2290974128.0
11/18/14,5134550134.0,2421636751.0
11/19/14,5066365722.0,2385523472.0
11/20/14,4890916443.0,2445752852.0
11/21/14,4827117113.0,2354001703.0
11/22/14,4867761185.0,2148242114.0
11/23/14,4912198474.0,3920717722.0
11/24/14,5198006400.0,2067088979.0
11/25/14,5159022365.0,2225070831.0
11/26/14,5030504780.0,2538500587.0
11/27/14,5047706146.0,2466033040.0
11/28/14,5096576448.0,2378458277.0
11/29/14,5112905894.0,2152243922.0
11/30/14,5097293877.0,4652089401.0
12/1/14,5176753038.0,2352651211.0
12/2/14,5180956836.0,3272302905.0
12/3/14,5132181106.0,3096312097.0
12/4/14,5044277365.0,2695364214.0
12/5/14,5077030937.0,2921031411.0
12/6/14,5079337165.0,2329160944.0
12/7/14,5103296366.0,4182154975.0
12/8/14,4986234561.0,2617455409.0
12/9/14,4760292227.0,2843257110.0
12/10/14,4770972115.0,2815506986.0
12/11/14,4841998530.0,2713373795.0
12/12/14,4829389818.0,2440689012.0
12/13/14,4765766122.0,2364088599.0
12/14/14,4807337088.0,4148951137.0
12/15/14,4793307333.0,3610552095.0
12/16/14,4584536859.0,3254205423.0
12/17/14,4333263510.0,3225018664.0
12/18/14,4327558493.0,3935792962.0
12/19/14,4327589639.0,1996469130.0
12/20/14,4438688455.0,4492876548.0
12/21/14,4456636201.0,3232105189.0
12/22/14,4534046550.0,2965828077.0
12/23/14,4595814288.0,3441422148.0
12/24/14,4469253042.0,2365604848.0
12/25/14,4357639536.0,1683229930.0
12/26/14,4478641759.0,1638710355.0
12/27/14,4293704693.0,2756788833.0
12/28/14,4336676938.0,4330791269.0
12/29/14,4296892595.0,1967023671.0
12/30/14,4278907103.0,2539117777.0
12/31/14,4339040505.0,1919482810.0
1/1/15,4317110683.0,1043055771.0
1/2/15,4324528909.0,2202045085.0
1/3/15,4136728482.0,3339143303.0
1/4/15,3708212137.0,3296074069.0
1/5/15,3789717240.0,2916248765.0
1/6/15,3790803680.0,2487452068.0
1/7/15,3791827840.0,2538753065.0
1/8/15,3792762040.0,2690394656.0
1/9/15,3793813880.0,3145362747.0
1/10/15,3811241000.0,4886157416.0
1/11/15,3733411894.0,3409779902.0
1/12/15,3703664250.0,2675484698.0
